auc,f1,accuracy,model,split,seed,dataset
0.7554919066638638,0.6938775510204082,0.6739130434782609,FTTransformer,random,123,promise_poi
0.6809862735129639,0.7477313974591652,0.6855203619909502,LogReg,temporal,123,promise_poi
0.7062399151212395,0.697029702970297,0.6538461538461539,RandomForest,temporal,123,promise_poi
0.6940054375455891,0.5941043083900227,0.5950226244343891,XGBoost,temporal,123,promise_poi
0.7036869211555888,0.5853658536585366,0.5769230769230769,LightGBM,temporal,123,promise_poi
0.6572025375212749,0.6283367556468172,0.5904977375565611,SimpleMLP,temporal,123,promise_poi
0.6477420923498596,0.5384615384615384,0.5384615384615384,ResNet,temporal,123,promise_poi
0.7570013925421629,0.7906137184115524,0.7375565610859729,FTTransformer,temporal,123,promise_poi
0.675294303132226,0.64,0.6086956521739131,LogReg,random,456,promise_poi
0.6540098801765819,0.5806451612903226,0.5760869565217391,RandomForest,random,456,promise_poi
0.6578463317216734,0.5836298932384342,0.5760869565217391,XGBoost,random,456,promise_poi
0.6611835190245954,0.5663082437275986,0.5615942028985508,LightGBM,random,456,promise_poi
0.7159186462055918,0.6915254237288135,0.6702898550724637,SimpleMLP,random,456,promise_poi
0.722908345595964,0.7032258064516129,0.6666666666666666,ResNet,random,456,promise_poi
0.7218572629808703,0.6837060702875399,0.6413043478260869,FTTransformer,random,456,promise_poi
0.6809862735129639,0.7477313974591652,0.6855203619909502,LogReg,temporal,456,promise_poi
0.7135673393603147,0.7033398821218074,0.6583710407239819,RandomForest,temporal,456,promise_poi
0.7003492407329636,0.611353711790393,0.5972850678733032,XGBoost,temporal,456,promise_poi
0.7054552286642648,0.584070796460177,0.5746606334841629,LightGBM,temporal,456,promise_poi
0.6631484715191972,0.7032136105860114,0.6447963800904978,SimpleMLP,temporal,456,promise_poi
0.6557436838266175,0.6859344894026975,0.6312217194570136,ResNet,temporal,456,promise_poi
0.7142083508322098,0.7593582887700535,0.6945701357466063,FTTransformer,temporal,456,promise_poi
0.6710460460460461,0.6031746031746031,0.609375,LogReg,random,42,promise_velocity
0.6838088088088089,0.6891891891891891,0.640625,RandomForest,random,42,promise_velocity
0.6863113113113113,0.7066666666666667,0.65625,XGBoost,random,42,promise_velocity
0.6864364364364365,0.7066666666666667,0.65625,LightGBM,random,42,promise_velocity
0.6785535535535536,0.6527777777777778,0.609375,SimpleMLP,random,42,promise_velocity
0.6783033033033032,0.6619718309859155,0.625,ResNet,random,42,promise_velocity
0.6848098098098098,0.6923076923076923,0.625,FTTransformer,random,42,promise_velocity
0.7251655629139073,0.5990338164251208,0.6375545851528385,LogReg,temporal,42,promise_velocity
0.6011631856002717,0.5897435897435898,0.5807860262008734,RandomForest,temporal,42,promise_velocity
0.6343182204109357,0.5833333333333334,0.5633187772925764,XGBoost,temporal,42,promise_velocity
0.6543555781966378,0.575,0.5545851528384279,LightGBM,temporal,42,promise_velocity
0.705298013245033,0.555984555984556,0.4978165938864629,SimpleMLP,temporal,42,promise_velocity
0.6946001018848701,0.5247148288973384,0.45414847161572053,ResNet,temporal,42,promise_velocity
0.7092035999320768,0.5150501672240803,0.36681222707423583,FTTransformer,temporal,42,promise_velocity
0.668918918918919,0.6323529411764706,0.609375,LogReg,random,123,promise_velocity
0.7327327327327328,0.6857142857142857,0.65625,RandomForest,random,123,promise_velocity
